Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url,Use
1775311,HEART,0.3,VS2,M,EX,VG,GD,F,4.07-4.52×2.61,575.28,https://capitalwholesalediamonds.com/product/0-3-ct-heart-420/,Train
1767945,HEART,0.31,VS1,M,EX,VG,VG,F,4.04-4.79×2.71,615.67,https://capitalwholesalediamonds.com/product/0-31-ct-heart-148/,Train
1793192,HEART,0.31,VS1,M,VG,EX,VG,N,4.35-4.39×2.62,631.92,https://capitalwholesalediamonds.com/product/0-31-ct-heart-149/,Train
1781403,HEART,0.3,SI1,N,EX,EX,VG,N,3.99-4.72×2.76,632.57,https://capitalwholesalediamonds.com/product/0-3-ct-heart-537/,Train
1787984,HEART,0.34,SI2,J,VG,EX,VG,F,4.19-4.94×2.92,647.13,https://capitalwholesalediamonds.com/product/0-34-ct-heart-32/,Train
1771391,HEART,0.3,SI2,I,EX,EX,GD,N,4.17-4.72×2.68,658.42,https://capitalwholesalediamonds.com/product/0-3-ct-heart-405/,Train
1800054,HEART,0.29,SI1,J,VG,EX,FR,M,4.02-4.70×2.60,663.43,https://capitalwholesalediamonds.com/product/0-29-ct-heart-22/,Train
1791135,HEART,0.3,SI1,J,EX,EX,GD,N,3.90-4.58×2.73,667.08,https://capitalwholesalediamonds.com/product/0-3-ct-heart-415/,Train
1775296,HEART,0.3,VS1,J,GD,GD,GD,N,3.87-4.65×2.66,667.60,https://capitalwholesalediamonds.com/product/0-3-ct-heart-408/,Train
1772595,HEART,0.3,SI1,J,GD,VG,FR,F,4.22-4.47×2.73,676.71,https://capitalwholesalediamonds.com/product/0-3-ct-heart-414/,Train
1747964,HEART,0.31,VS2,L,EX,EX,VG,N,4.36-4.76×2.67,678.54,https://capitalwholesalediamonds.com/product/0-31-ct-heart-147/,Train
1785263,HEART,0.31,VS1,L,EX,EX,VG,M,4.17-4.68×2.67,680.63,https://capitalwholesalediamonds.com/product/0-31-ct-heart-146/,Train
1800053,HEART,0.3,SI2,I,VG,VG,GD,N,4.28-4.56×2.53,695.94,https://capitalwholesalediamonds.com/product/0-3-ct-heart-404/,Train
1800794,HEART,0.29,VS1,I,GD,VG,GD,ST,4.28-4.67×2.56,697.73,https://capitalwholesalediamonds.com/product/0-29-ct-heart-20/,Train
1787976,HEART,0.3,SI1,I,GD,VG,GD,N,4.29-4.55×2.53,702.57,https://capitalwholesalediamonds.com/product/0-3-ct-heart-401/,Train
1800787,HEART,0.3,SI1,J,VG,VG,VG,F,4.19-4.60×2.71,709.66,https://capitalwholesalediamonds.com/product/0-3-ct-heart-413/,Train
1787977,HEART,0.3,SI1,I,EX,EX,GD,ST,4.21-4.59×2.57,713.21,https://capitalwholesalediamonds.com/product/0-3-ct-heart-397/,Train
1800731,HEART,0.3,VVS2,K,GD,EX,GD,N,4.22-4.45×2.43,716.22,https://capitalwholesalediamonds.com/product/0-3-ct-heart-417/,Train
1795913,HEART,0.3,SI1,J,VG,EX,GD,F,4.01-4.58×2.73,718.28,https://capitalwholesalediamonds.com/product/0-3-ct-heart-412/,Train
1779842,HEART,0.3,VS2,K,EX,EX,VG,N,4.04-4.70×2.76,720.29,https://capitalwholesalediamonds.com/product/0-3-ct-heart-419/,Train
1800035,HEART,0.31,VS2,K,EX,EX,VG,F,4.25-4.77×2.71,730.96,https://capitalwholesalediamonds.com/product/0-31-ct-heart-145/,Train
1789921,HEART,0.3,VS1,K,EX,VG,VG,F,3.97-4.70×2.70,732.97,https://capitalwholesalediamonds.com/product/0-3-ct-heart-418/,Train
1775310,HEART,0.3,VS2,I,VG,EX,GD,M,4.07-4.53×2.74,734.49,https://capitalwholesalediamonds.com/product/0-3-ct-heart-395/,Train
1800792,HEART,0.3,SI2,H,VG,EX,GD,N,4.24-4.74×2.85,737.53,https://capitalwholesalediamonds.com/product/0-3-ct-heart-371/,Train
1741963,HEART,0.33,VVS2,J,EX,EX,GD,N,4.18-4.96×2.81,742.35,https://capitalwholesalediamonds.com/product/0-33-ct-heart-56/,Train
1747962,HEART,0.35,VS1,J,EX,EX,EX,F,4.16-4.92×2.84,746.74,https://capitalwholesalediamonds.com/product/0-35-ct-heart-18/,Train
1800785,HEART,0.3,SI1,F,VG,EX,VG,N,4.10-4.51×2.75,748.21,https://capitalwholesalediamonds.com/product/0-3-ct-heart-240/,Train
1785298,HEART,0.3,SI1,I,GD,VG,GD,N,3.90-4.68×2.73,750.70,https://capitalwholesalediamonds.com/product/0-3-ct-heart-402/,Train
1746097,HEART,0.3,VS1,I,VG,EX,VG,N,3.83-4.61×2.76,752.78,https://capitalwholesalediamonds.com/product/0-3-ct-heart-382/,Train
1795846,HEART,0.3,VVS1,K,VG,EX,VG,F,3.82-4.59×2.76,753.77,https://capitalwholesalediamonds.com/product/0-3-ct-heart-416/,Train
1771389,HEART,0.31,SI2,F,EX,EX,VG,N,4.02-4.78×2.80,756.65,https://capitalwholesalediamonds.com/product/0-31-ct-heart-86/,Train
1778575,HEART,0.3,SI1,I,VG,EX,GD,N,4.16-4.55×2.73,758.34,https://capitalwholesalediamonds.com/product/0-3-ct-heart-403/,Train
1769680,HEART,0.3,SI2,F,EX,EX,VG,N,4.16-4.61×2.73,760.87,https://capitalwholesalediamonds.com/product/0-3-ct-heart-250/,Train
1793190,HEART,0.3,VS1,J,VG,EX,GD,N,4.03-4.65×2.75,761.35,https://capitalwholesalediamonds.com/product/0-3-ct-heart-410/,Train
1793189,HEART,0.32,VS1,J,GD,VG,GD,N,3.95-4.75×2.93,761.50,https://capitalwholesalediamonds.com/product/0-32-ct-heart-85/,Train
1771385,HEART,0.3,SI1,I,VG,EX,VG,N,4.19-4.58×2.58,762.92,https://capitalwholesalediamonds.com/product/0-3-ct-heart-396/,Train
1757241,HEART,0.31,VS1,I,EX,EX,VG,M,4.10-4.82×2.78,762.92,https://capitalwholesalediamonds.com/product/0-31-ct-heart-137/,Train
1771362,HEART,0.3,VS2,J,VG,EX,GD,N,4.31-4.56×2.51,764.89,https://capitalwholesalediamonds.com/product/0-3-ct-heart-411/,Train
1783883,HEART,0.3,SI2,H,EX,VG,VG,N,3.99-4.72×2.71,766.92,https://capitalwholesalediamonds.com/product/0-3-ct-heart-372/,Train
1779847,HEART,0.3,SI1,I,VG,EX,VG,F,4.24-4.64×2.55,770.00,https://capitalwholesalediamonds.com/product/0-3-ct-heart-399/,Train
1698994,HEART,0.29,SI1,G,VG,EX,GD,N,4.18-4.71×2.60,770.27,https://capitalwholesalediamonds.com/product/0-29-ct-heart-19/,Train
1779848,HEART,0.35,SI2,G,VG,EX,VG,N,4.17-4.85×2.84,773.39,https://capitalwholesalediamonds.com/product/0-35-ct-heart-13/,Train
1771361,HEART,0.31,VS2,I,EX,EX,VG,M,4.02-4.74×2.78,773.92,https://capitalwholesalediamonds.com/product/0-31-ct-heart-142/,Train
1800791,HEART,0.3,SI2,H,EX,EX,VG,N,4.15-4.74×2.69,775.57,https://capitalwholesalediamonds.com/product/0-3-ct-heart-373/,Train
1795915,HEART,0.3,SI2,H,EX,VG,VG,N,4.34-4.64×2.53,781.15,https://capitalwholesalediamonds.com/product/0-3-ct-heart-374/,Train
1789945,HEART,0.3,SI2,F,EX,VG,GD,N,4.29-4.70×2.79,781.64,https://capitalwholesalediamonds.com/product/0-3-ct-heart-253/,Train
1781376,HEART,0.41,VS1,L,EX,EX,VG,N,4.56-5.28×2.97,782.15,https://capitalwholesalediamonds.com/product/0-41-ct-heart-54/,Train
1778562,HEART,0.3,VS1,I,GD,VG,GD,F,3.88-4.68×2.76,786.71,https://capitalwholesalediamonds.com/product/0-3-ct-heart-383/,Train
1785297,HEART,0.31,SI1,I,GD,EX,VG,N,4.37-4.46×2.47,786.98,https://capitalwholesalediamonds.com/product/0-31-ct-heart-143/,Train
1783877,HEART,0.3,SI1,I,VG,EX,VG,N,4.04-4.67×2.62,788.23,https://capitalwholesalediamonds.com/product/0-3-ct-heart-398/,Train
1785304,HEART,0.29,SI1,D,GD,VG,GD,N,3.92-4.75×2.80,791.33,https://capitalwholesalediamonds.com/product/0-29-ct-heart-25/,Train
1789933,HEART,0.3,VS2,I,GD,EX,EX,N,4.27-4.51×2.46,794.30,https://capitalwholesalediamonds.com/product/0-3-ct-heart-392/,Train
1785301,HEART,0.3,SI2,F,GD,VG,GD,N,4.33-4.57×2.47,794.37,https://capitalwholesalediamonds.com/product/0-3-ct-heart-251/,Train
1775287,HEART,0.3,VVS2,J,VG,EX,VG,F,3.90-4.60×2.78,795.33,https://capitalwholesalediamonds.com/product/0-3-ct-heart-406/,Train
1717449,HEART,0.29,SI1,F,GD,EX,GD,N,3.86-4.55×2.76,796.23,https://capitalwholesalediamonds.com/product/0-29-ct-heart-14/,Train
1785296,HEART,0.33,SI1,I,EX,EX,GD,F,4.08-4.85×2.85,798.10,https://capitalwholesalediamonds.com/product/0-33-ct-heart-55/,Train
1793213,HEART,0.3,SI1,I,VG,EX,VG,N,4.27-4.50×2.49,799.39,https://capitalwholesalediamonds.com/product/0-3-ct-heart-400/,Train
1703692,HEART,0.4,SI1,I,EX,EX,VG,N,4.47-5.11×3.01,800.42,https://capitalwholesalediamonds.com/product/0-4-ct-heart-199/,Train
1789932,HEART,0.3,VS2,I,VG,EX,VG,M,3.96-4.68×2.83,805.98,https://capitalwholesalediamonds.com/product/0-3-ct-heart-389/,Train
1740726,HEART,0.29,VS2,I,GD,EX,VG,N,3.99-4.73×2.56,807.03,https://capitalwholesalediamonds.com/product/0-29-ct-heart-21/,Train
1759341,HEART,0.3,SI1,H,VG,EX,VG,N,4.19-4.71×2.64,808.01,https://capitalwholesalediamonds.com/product/0-3-ct-heart-367/,Train
1800796,HEART,0.29,SI1,D,GD,GD,GD,F,4.22-4.57×2.62,808.48,https://capitalwholesalediamonds.com/product/0-29-ct-heart-26/,Train
1800755,HEART,0.3,VS1,J,EX,EX,VG,F,4.12-4.69×2.75,808.53,https://capitalwholesalediamonds.com/product/0-3-ct-heart-407/,Train
1800790,HEART,0.3,SI2,G,VG,EX,GD,N,4.01-4.68×2.82,809.51,https://capitalwholesalediamonds.com/product/0-3-ct-heart-336/,Train
1771390,HEART,0.3,SI2,F,VG,EX,VG,N,4.02-4.76×2.72,809.53,https://capitalwholesalediamonds.com/product/0-3-ct-heart-257/,Train
1794501,HEART,0.34,VVS2,J,EX,EX,VG,N,4.21-4.99×2.81,811.49,https://capitalwholesalediamonds.com/product/0-34-ct-heart-31/,Train
1772592,HEART,0.31,VS2,I,EX,EX,VG,F,4.09-4.74×2.67,815.80,https://capitalwholesalediamonds.com/product/0-31-ct-heart-139/,Train
1785282,HEART,0.3,VS2,I,VG,EX,GD,N,4.19-4.53×2.55,817.66,https://capitalwholesalediamonds.com/product/0-3-ct-heart-393/,Train
1800778,HEART,0.33,VS2,J,EX,EX,VG,N,4.37-4.85×2.73,819.30,https://capitalwholesalediamonds.com/product/0-33-ct-heart-57/,Train
