Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Use
1638147,CUSHION,0.55,SI2,E,EX,EX,VG,N,5.05-4.35×2.94,"1,378.65",Train
1630155,CUSHION,0.5,VVS1,FANCY,EX,EX,VG,F,4.60-4.31×2.92,"1,379.74",Train
1612606,CUSHION,0.51,VS2,H,EX,EX,VG,N,4.71-4.35×2.94,"1,380.19",Train
1638140,CUSHION,0.5,VS2,H,EX,EX,VG,N,4.91-4.26×2.88,"1,380.61",Train
1536093,CUSHION,0.53,SI1,D,EX,VG,VG,N,4.70-4.46×3.01,"1,383.13",Train
1643527,CUSHION,0.52,VVS1,I,EX,EX,VG,N,4.76-4.42×2.99,"1,384.24",Train
1796907,CUSHION,0.51,VS2,I,EX,EX,VG,F,5.16-4.21×2.85,"1,385.26",Train
1636092,CUSHION,0.5,SI1,E,VG,EX,VG,N,4.91-4.17×2.90,"1,385.91",Train
1771074,CUSHION,0.5,VVS2,I,EX,EX,VG,N,4.48-4.38×3.04,"1,385.94",Train
1756392,CUSHION,0.51,SI1,I,EX,EX,EX,N,4.55-4.50×3.02,"1,387.05",Train
1648845,CUSHION,0.5,SI1,D,EX,EX,GD,N,4.89-4.24×2.84,"1,389.25",Train
1766801,CUSHION,0.5,VS1,I,EX,EX,VG,N,5.05-4.21×2.83,"1,390.19",Train
1631332,CUSHION,0.55,VVS1,I,EX,EX,VG,N,4.69-4.50×3.04,"1,391.02",Train
1639565,CUSHION,0.55,VS1,H,EX,EX,EX,ST,4.78-4.52×3.04,"1,392.90",Train
1608375,CUSHION,0.91,SI1,M,EX,EX,EX,F,6.09-5.11×3.47,"1,393.76",Train
1623506,CUSHION,0.52,VS1,H,EX,EX,VG,M,4.64-4.48×3.03,"1,319.56",Train
1593561,CUSHION,0.5,VVS1,I,EX,EX,VG,N,4.63-4.33×2.92,"1,320.14",Train
1612588,CUSHION,0.71,VS1,K,EX,EX,VG,N,5.73-4.71×3.20,"1,320.70",Train
200715-197,CUSHION,1.12,I3,FANCY,EX,VG,VG,F,6.01-5.64×3.83,"1,323.08",Train
1665793,CUSHION,0.51,VVS2,I,EX,EX,VG,N,4.53-4.43×3.00,"1,324.64",Train
200538-94,CUSHION,1.0,I1,W-X,EX,VG,GD,F,6.51-5.31×3.27,"1,325.01",Train
1605155,CUSHION,0.52,VVS1,I,EX,EX,VG,N,4.69-4.47×3.03,"1,326.87",Train
1704922,CUSHION,0.72,VS2,FANCY,EX,EX,EX,F,5.21-4.87×3.21,"1,328.48",Train
1608393,CUSHION,0.82,VS1,M,EX,EX,EX,M,5.23-5.20×3.53,"1,329.81",Train
1597343,CUSHION,0.72,IF,Y-Z,EX,EX,GD,N,5.09-4.87×3.29,"1,330.50",Train
1771082,CUSHION,0.5,SI2,H,EX,EX,VG,N,5.13-4.12×2.78,"1,330.91",Train
1777340,CUSHION,0.5,SI2,E,EX,EX,VG,N,4.67-4.28×2.90,"1,331.01",Train
1638113,CUSHION,0.8,SI1,N,EX,EX,VG,M,5.47-4.97×3.38,"1,332.09",Train
1787775,CUSHION,0.52,SI1,I,EX,EX,VG,N,4.62-4.40×2.99,"1,332.82",Train
1799601,CUSHION,0.53,VS1,J,EX,EX,EX,N,4.70-4.45×3.01,"1,422.74",Train
1622628,CUSHION,0.51,VS1,FANCY,EX,VG,VG,F,4.62-4.48×2.97,"1,424.23",Train
1667155,CUSHION,0.53,VS1,I,EX,EX,VG,N,5.19-4.29×2.90,"1,424.37",Train
1775168,CUSHION,0.5,VS2,E,EX,EX,VG,M,5.01-4.28×2.79,"1,429.01",Train
1615073,CUSHION,0.52,VVS1,I,EX,EX,VG,N,4.57-4.47×3.03,"1,430.13",Train
1795575,CUSHION,0.5,VS2,F,VG,EX,EX,ST,4.76-4.20×2.94,"1,436.50",Train
1589370,CUSHION,0.75,VS1,L,EX,EX,VG,F,5.70-4.78×3.23,"1,437.68",Train
1757200,CUSHION,0.5,VS2,H,VG,EX,VG,N,4.96-4.21×2.87,"1,439.96",Train
1648815,CUSHION,0.94,SI1,M,VG,EX,VG,F,5.87-5.18×3.61,"1,441.31",Train
