Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Use
1783153,PRINCESS,0.33,VVS2,E,EX,EX,GD,F,3.84-3.79×2.67,"1,010.59",Train
1765234,PRINCESS,0.34,VS1,F,EX,EX,VG,N,3.95-3.90×2.77,"1,010.91",Train
1775625,PRINCESS,0.33,VS1,D,EX,VG,GD,N,3.87-3.87×2.63,"1,012.26",Train
1649332,PRINCESS,0.5,SI2,K,EX,EX,GD,N,4.21-4.19×3.04,"1,012.33",Train
1786744,PRINCESS,0.43,VS2,J,EX,EX,GD,N,4.23-4.15×3.01,"1,012.43",Train
1594165,PRINCESS,0.51,VVS2,K,VG,VG,VG,N,4.31-4.22×3.14,"1,012.43",Train
1798883,PRINCESS,0.31,VS1,F,EX,EX,VG,N,3.73-3.70×2.60,"1,013.39",Train
1800370,PRINCESS,0.33,VVS2,F,EX,VG,GD,N,3.89-3.83×2.77,"1,013.41",Train
1654387,PRINCESS,0.5,VS1,K,GD,EX,VG,F,4.12-4.02×3.19,"1,014.13",Train
1775627,PRINCESS,0.37,VS2,E,EX,VG,GD,N,4.02-4.01×2.66,"1,015.23",Train
1800373,PRINCESS,0.31,VS1,D,EX,EX,VG,N,3.76-3.72×2.65,"1,016.45",Train
1797565,PRINCESS,0.31,VVS1,E,EX,VG,GD,N,3.80-3.76×2.67,"1,016.52",Train
1771762,PRINCESS,0.3,VVS2,D,EX,EX,VG,N,3.79-3.73×2.50,"1,018.39",Train
1769923,PRINCESS,0.3,VVS2,D,EX,EX,VG,N,3.74-3.73×2.54,"1,018.39",Train
1656725,PRINCESS,0.5,SI2,J,VG,EX,GD,N,4.19-4.18×3.13,"1,020.11",Train
1796228,PRINCESS,0.34,VVS2,H,EX,EX,GD,N,3.90-3.85×2.62,951.15,Train
1800990,PRINCESS,0.3,VS1,E,EX,EX,VG,N,3.66-3.61×2.59,952.01,Train
1800371,PRINCESS,0.3,VVS2,F,EX,EX,VG,F,3.80-3.79×2.54,952.01,Train
1774646,PRINCESS,0.33,VVS1,F,EX,EX,GD,F,3.90-3.83×2.62,952.03,Train
1775629,PRINCESS,0.34,VS2,H,EX,EX,VG,N,3.88-3.84×2.78,952.28,Train
1742151,PRINCESS,0.3,VS1,D,EX,EX,VG,N,3.80-3.79×2.57,952.99,Train
1788261,PRINCESS,0.3,VS2,G,EX,EX,VG,N,3.83-3.80×2.63,954.02,Train
1785751,PRINCESS,0.31,VS1,F,EX,EX,GD,N,3.84-3.77×2.61,954.65,Train
1790042,PRINCESS,0.32,VS2,E,EX,EX,GD,N,3.87-3.81×2.68,955.64,Train
1781742,PRINCESS,0.31,VS1,E,EX,VG,VG,N,3.78-3.71×2.68,956.74,Train
1765909,PRINCESS,0.3,VS1,D,EX,VG,GD,N,3.63-3.59×2.60,958.57,Train
1784083,PRINCESS,0.3,VS2,D,EX,EX,VG,N,3.79-3.73×2.66,958.65,Train
1788246,PRINCESS,0.3,VVS2,D,EX,EX,GD,N,3.76-3.71×2.70,959.62,Train
1651820,PRINCESS,0.5,VS1,L,EX,VG,VG,M,4.28-4.26×3.10,959.65,Train
1790037,PRINCESS,0.31,VS1,E,EX,EX,VG,F,3.72-3.67×2.59,960.43,Train
1785743,PRINCESS,0.33,VVS1,F,EX,EX,VG,N,3.91-3.84×2.58,"1,056.32",Train
1784079,PRINCESS,0.33,VS1,D,EX,EX,VG,N,3.87-3.82×2.77,"1,056.32",Train
1656720,PRINCESS,0.51,VS1,L,EX,VG,VG,F,4.35-4.30×3.12,"1,057.44",Train
1798880,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,3.84-3.79×2.70,"1,060.00",Train
1778818,PRINCESS,0.3,VVS1,D,EX,EX,VG,N,3.81-3.74×2.64,"1,062.00",Train
1789300,PRINCESS,0.31,VVS1,D,EX,EX,GD,N,3.85-3.77×2.69,"1,063.62",Train
1646367,PRINCESS,0.5,SI1,J,VG,EX,GD,N,4.23-4.21×3.12,"1,065.06",Train
1786745,PRINCESS,0.4,SI1,E,VG,EX,GD,N,4.11-4.02×2.90,"1,066.12",Train
