Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Use
1783497,ROUND,0.3,VVS1,K,VG,EX,VG,N,4.36-4.40×2.59,826.78,Train
1763841,ROUND,0.23,VS2,E,EX,EX,EX,N,3.95-3.97×2.42,951.72,Train
1763837,ROUND,0.23,VS2,E,EX,EX,EX,N,3.95-3.98×2.40,951.72,Train
1763842,ROUND,0.23,VS2,E,EX,EX,EX,N,3.99-4.01×2.38,951.72,Train
1763839,ROUND,0.23,VS2,E,EX,EX,EX,N,3.94-3.97×2.40,951.72,Train
1728155,ROUND,0.23,VS1,F,EX,EX,EX,N,4.01-4.04×2.41,951.72,Train
1701458,ROUND,0.23,VS1,F,EX,EX,EX,N,4.03-4.04×2.39,951.72,Train
1592360,ROUND,0.23,VS1,F,EX,EX,EX,N,4.00-4.03×2.38,951.72,Train
1586179,ROUND,0.23,VS1,E,EX,EX,EX,N,3.93-3.95×2.44,951.72,Train
1586146,ROUND,0.23,VS1,E,EX,EX,EX,N,3.97-3.99×2.40,951.72,Train
1586166,ROUND,0.23,VS1,E,EX,EX,EX,N,3.94-3.96×2.47,951.72,Train
1627029,ROUND,0.23,VS1,E,EX,EX,EX,N,3.93-3.94×2.44,951.72,Train
1645390,ROUND,0.23,VS1,E,EX,EX,EX,N,4.02-4.03×2.38,951.72,Train
1586149,ROUND,0.23,VS1,E,EX,EX,EX,N,3.94-3.96×2.46,951.72,Train
1586189,ROUND,0.23,VS1,E,EX,EX,EX,N,3.92-3.94×2.44,951.72,Train
1586161,ROUND,0.23,VS1,E,EX,EX,EX,N,3.93-3.95×2.48,951.72,Train
1506803,ROUND,0.24,VVS2,F,EX,EX,EX,F,4.00-4.02×2.47,"1,040.04",Train
1618589,ROUND,0.24,VVS2,F,EX,EX,EX,N,4.01-4.04×2.48,"1,040.04",Train
1586277,ROUND,0.24,VVS2,F,EX,EX,EX,N,4.01-4.03×2.47,"1,040.04",Train
1655367,ROUND,0.24,VVS2,F,EX,EX,EX,N,4.06-4.07×2.42,"1,040.04",Train
1674015,ROUND,0.24,VVS2,F,EX,EX,EX,N,4.00-4.01×2.46,"1,040.04",Train
1576883,ROUND,0.24,VVS1,D,EX,EX,EX,N,3.99-4.01×2.47,"1,040.04",Train
1592535,ROUND,0.24,VVS1,D,EX,EX,EX,N,3.98-4.01×2.44,"1,040.04",Train
1611136,ROUND,0.24,VVS2,D,EX,EX,EX,N,4.01-4.05×2.42,"1,040.04",Train
1655317,ROUND,0.24,VVS2,D,EX,EX,EX,N,4.04-4.05×2.41,"1,040.04",Train
1655318,ROUND,0.24,VVS2,D,EX,EX,EX,N,4.00-4.03×2.45,"1,040.04",Train
1789806,ROUND,0.32,SI2,E,EX,EX,EX,F,4.50-4.53×2.69,"1,040.04",Train
1790778,ROUND,0.31,VS1,J,EX,EX,EX,N,4.39-4.42×2.66,"1,040.08",Train
1766599,ROUND,0.35,VVS2,J,EX,EX,EX,M,4.53-4.57×2.81,"1,040.18",Train
1792606,ROUND,0.3,SI1,F,EX,VG,EX,N,4.29-4.32×2.64,"1,040.20",Train
1792603,ROUND,0.3,SI1,F,EX,EX,VG,N,4.40-4.42×2.57,"1,040.20",Train
1655327,ROUND,0.25,VVS2,E,EX,EX,EX,N,4.01-4.04×2.47,"1,043.56",Train
1655326,ROUND,0.25,VVS2,E,EX,EX,EX,N,4.03-4.06×2.50,"1,043.56",Train
1592435,ROUND,0.25,VVS2,E,EX,EX,EX,N,4.02-4.05×2.51,"1,043.56",Train
1592396,ROUND,0.25,VVS2,F,VG,EX,EX,N,4.01-4.04×2.50,"1,043.56",Train
1586234,ROUND,0.25,VVS2,F,EX,EX,EX,N,4.04-4.06×2.52,"1,043.56",Train
1694069,ROUND,0.25,VVS2,F,EX,EX,EX,N,4.02-4.03×2.49,"1,043.56",Train
1586242,ROUND,0.25,VVS2,F,EX,EX,EX,N,4.02-4.04×2.53,"1,043.56",Train
1586114,ROUND,0.26,VS1,E,EX,EX,EX,N,4.11-4.13×2.58,"1,043.63",Train
1602671,ROUND,0.26,VS2,E,EX,EX,EX,N,4.08-4.12×2.56,"1,043.63",Train
